,Image,InferTime,Obj1,ConfObj1,Obj2,ConfObj2,Obj3,ConfObj3
0,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-17-55.jpg,10.10593,car,0.7074,,,,
1,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-19-03.jpg,9.152635,car,0.9465,,,,
2,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-33-37.jpg,8.865553,,,,,,
3,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-57-05.jpg,8.546092,car,0.935,,,,
4,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-29-33.jpg,8.428411,,,,,,
5,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-21-53.jpg,8.482451,car,0.958,car,0.9574,car,0.8589
6,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-09-19.jpg,8.698298,,,,,,
7,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-37-50.jpg,9.079547,car,0.9363,,,,
8,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-19-29.jpg,8.963523,,,,,,
9,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-05-45.jpg,9.087043,,,,,,
10,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-18-39.jpg,9.148252,car,0.5821,,,,
11,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-00-18.jpg,9.1281,,,,,,
12,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-45-54.jpg,8.775311,,,,,,
13,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-14-31.jpg,8.524978,car,0.7003,,,,
14,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-11-28.jpg,8.569294,,,,,,
15,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-40-32.jpg,8.73342,,,,,,
16,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-19-05.jpg,9.069793,,,,,,
17,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-29-13.jpg,8.928779,bus,0.9894,,,,
18,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-53-50.jpg,8.961384,bus,0.5283,,,,
19,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-15-31.jpg,9.413525,,,,,,
20,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-31-48.jpg,9.304677,car,0.5882,,,,
21,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-49-09.jpg,8.955274,,,,,,
22,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-16-02.jpg,8.640924,,,,,,
23,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-12-13.jpg,8.539622,,,,,,
24,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-17-19.jpg,8.657865,car,0.7039,,,,
25,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-54-30.jpg,9.016937,,,,,,
26,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-38-21.jpg,8.920347,,,,,,
27,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-59-33.jpg,9.038013,car,0.6811,,,,
